,,Name,Username,Tweet ID (click to view url),Retweets,Comments,Favorites,Is Retweet?,Date,Tweet Text,text,Status URL,
1,,ONTHEBLOK_io,ONTHEBLOK_io,https://www.twitter.com/ONTHEBLOK_io,1774836423985619404,0,0,0,,2024/4/1 16:29,@taylorswift13 https://t.co/PDbKS8jByn,Twitter for iPhone,https://www.twitter.com/ONTHEBLOK_io/status/1774836423985619404
2,,godiana ??,ThnkingBoutAri,https://www.twitter.com/ThnkingBoutAri,1775115110786224270,0,0,0,,2024/4/2 10:56,@mtimez27 @belloworldD @taylorswift13 Why would she put money over her fans when she’s already a billionaire???,Twitter for iPhone,https://www.twitter.com/ThnkingBoutAri/status/1775115110786224270
3,,GEM,GEMfinity20,https://www.twitter.com/GEMfinity20,1775124536028971424,0,0,0,,2024/4/2 11:34,@PelirojaMama @TheGr8Illusion @taylorswift13 it's all forgiven because he "apologized for most of it". Though yk if Trump apologized for anything you'd just hear nothing but how much of a big liar he is. never mind that all politicians are expert liars. all is forgiven when it's a Democrat.,Twitter for iPad,https://www.twitter.com/GEMfinity20/status/1775124536028971424
4,,GEM,GEMfinity20,https://www.twitter.com/GEMfinity20,1775125335949930694,0,1,1,,2024/4/2 11:37,"@B15Daddy @PelirojaMama @TheGr8Illusion @taylorswift13 biden could abuse 40 women and deny it, and the left would still vote for him because he isn't Trump. Bill Clinton is a huge example of how the same elites who talk about what a rapist Trump is dont give a damn about rape or its victims.",Twitter for iPad,https://www.twitter.com/GEMfinity20/status/1775125335949930694
5,,GEM,GEMfinity20,https://www.twitter.com/GEMfinity20,1775125985555251641,0,1,0,,2024/4/2 11:39,@B15Daddy @PelirojaMama @TheGr8Illusion @taylorswift13 they just use it to dissuade you from voting for Trump because they know the public doesnt like rape. George Stephalanosos is gonna sit and talk crap about rape victims supporting trump when he helped legally shut up rape victims during Clinton's campaign.,Twitter for iPad,https://www.twitter.com/GEMfinity20/status/1775125985555251641
6,,GEM,GEMfinity20,https://www.twitter.com/GEMfinity20,1775126462950953066,0,0,0,,2024/4/2 11:41,"@B15Daddy @PelirojaMama @TheGr8Illusion @taylorswift13 He (and these elites) dont give a damn about rape. they know you do and they'll use it to turn you against anyone they dont like. when it comes to someone they dont like, they dont care. thats why Biden and Clinton are absolute creeps and all we hear about is Trump.",Twitter for iPad,https://www.twitter.com/GEMfinity20/status/1775126462950953066
7,,GEM,GEMfinity20,https://www.twitter.com/GEMfinity20,1775127361152766310,0,0,0,,2024/4/2 11:45,@thered101 @TheGr8Illusion @taylorswift13 leftism is a mental poison,Twitter for iPad,https://www.twitter.com/GEMfinity20/status/1775127361152766310
8,,GEM,GEMfinity20,https://www.twitter.com/GEMfinity20,1775127641730719996,0,0,0,,2024/4/2 11:46,@John1215ad @TheGr8Illusion @taylorswift13 yeah if you dont trust the "racist cop system" by all means make them the only ones allowed to buy guns. the left is just seeing what they can get away with atp,Twitter for iPad,https://www.twitter.com/GEMfinity20/status/1775127641730719996
9,,GEM,GEMfinity20,https://www.twitter.com/GEMfinity20,1775128014059102623,0,0,3,,2024/4/2 11:47,@TheGr8Illusion @taylorswift13 imagine being so desperate for attention that you leech on to a poular singer and try to use their platform to promote your political agendas.,Twitter for iPad,https://www.twitter.com/GEMfinity20/status/1775128014059102623
10,,John Buscharmi,johnbuscharmi,https://www.twitter.com/johnbuscharmi,1775140366863261759,0,0,1,,2024/4/2 12:36,"@ekming751 @MFHazinski @3YearLetterman @taylorswift13 I just saw her in Seoul last week, it was a private show. Only her biggest fans were allowed to go. Guess you didn’t get the invite",Twitter for iPhone,https://www.twitter.com/johnbuscharmi/status/1775140366863261759
